noise_sigma,repeat,TPR,Precision,TNR,weight_error,TP,FP,FN
0.02,4,1.0,1.0,1.0,0.21220022189636406,39,0,0
0.02,5,1.0,1.0,1.0,0.18591255164429799,39,0,0
0.02,6,1.0,1.0,1.0,0.19332730436224402,39,0,0
0.02,7,1.0,1.0,1.0,0.19721329591326747,39,0,0
0.02,8,1.0,1.0,1.0,0.20001418552186587,39,0,0
0.02,9,1.0,1.0,1.0,0.20137002865228218,39,0,0
0.02,10,1.0,1.0,1.0,0.20656185775634228,39,0,0
0.02,11,1.0,1.0,1.0,0.1954623677051999,39,0,0
0.02,12,1.0,1.0,1.0,0.2054279820017708,39,0,0
0.02,13,1.0,1.0,1.0,0.20718575602937542,39,0,0
0.02,14,1.0,1.0,1.0,0.2094736791963744,39,0,0
0.02,15,1.0,1.0,1.0,0.20179451887158664,39,0,0
0.02,16,1.0,1.0,1.0,0.20484884066118283,39,0,0
0.02,17,1.0,1.0,1.0,0.20204170685582815,39,0,0
0.02,18,1.0,1.0,1.0,0.20083582010136952,39,0,0
0.02,19,1.0,1.0,1.0,0.20314201316256705,39,0,0
0.02,20,1.0,1.0,1.0,0.20206208205270634,39,0,0
0.03,1,1.0,0.975,0.9803921568627451,0.3905349601513816,39,1,0
0.03,2,1.0,0.975,0.9803921568627451,0.3692974713491971,39,1,0
0.03,3,1.0,1.0,1.0,0.3808545734972888,39,0,0
0.03,4,1.0,0.975,0.9803921568627451,0.4022127548075216,39,1,0
0.03,5,1.0,1.0,1.0,0.3602842431388342,39,0,0
0.03,6,1.0,1.0,1.0,0.3718082171130129,39,0,0
0.03,7,1.0,1.0,1.0,0.37739919702766583,39,0,0
0.03,8,1.0,1.0,1.0,0.38333407551889825,39,0,0
0.03,9,1.0,1.0,1.0,0.38488888425193496,39,0,0
0.03,10,1.0,1.0,1.0,0.39157631952213506,39,0,0
0.03,11,1.0,0.975,0.9803921568627451,0.37423487148808476,39,1,0
0.03,12,1.0,1.0,1.0,0.3902033687367197,39,0,0
0.03,13,1.0,0.975,0.9803921568627451,0.39484103145613336,39,1,0
0.03,14,1.0,1.0,1.0,0.3972151664619665,39,0,0
0.03,15,1.0,1.0,1.0,0.38433923038242074,39,0,0
0.03,16,1.0,0.9512195121951219,0.9607843137254902,0.38780318332717467,39,2,0
0.03,17,1.0,1.0,1.0,0.3848407545888952,39,0,0
0.03,18,1.0,0.975,0.9803921568627451,0.38397231720781805,39,1,0
0.03,19,1.0,1.0,1.0,0.3876430322961558,39,0,0
0.03,20,1.0,1.0,1.0,0.3834059628558004,39,0,0
0.04,1,1.0,0.9069767441860465,0.9215686274509803,0.5877715701369535,39,4,0
0.04,2,1.0,0.8666666666666667,0.8823529411764706,0.5594868012775293,39,6,0
0.04,3,1.0,0.9512195121951219,0.9607843137254902,0.5754215339265123,39,2,0
0.04,4,1.0,0.8666666666666667,0.8823529411764706,0.6038228048980416,39,6,0
0.04,5,1.0,0.9512195121951219,0.9607843137254902,0.5500654500150945,39,2,0
0.04,6,1.0,0.9285714285714286,0.9411764705882353,0.5651860357507578,39,3,0
0.04,7,1.0,0.9512195121951219,0.9607843137254902,0.5705368688378647,39,2,0
0.04,8,1.0,0.8666666666666667,0.8823529411764706,0.5804474451304031,39,6,0
0.04,9,1.0,0.9069767441860465,0.9215686274509803,0.581470625377166,39,4,0
0.04,10,1.0,0.9512195121951219,0.9607843137254902,0.5887910404315866,39,2,0
0.04,11,1.0,0.8666666666666667,0.8823529411764706,0.5667388798248525,39,6,0
0.04,12,1.0,0.9285714285714286,0.9411764705882353,0.5886018815549562,39,3,0
0.04,13,1.0,0.8666666666666667,0.8823529411764706,0.5937144708973136,39,6,0
0.04,14,1.0,0.8666666666666667,0.8823529411764706,0.5970475288405047,39,6,0
0.04,15,1.0,0.9069767441860465,0.9215686274509803,0.5794984805827429,39,4,0
0.04,16,1.0,0.9069767441860465,0.9215686274509803,0.5836241133101147,39,4,0
0.04,17,1.0,0.9069767441860465,0.9215686274509803,0.5817386402220629,39,4,0
0.04,18,1.0,0.9512195121951219,0.9607843137254902,0.580995893702611,39,2,0
0.04,19,1.0,0.9512195121951219,0.9607843137254902,0.586502504135207,39,2,0
0.04,20,1.0,0.9069767441860465,0.9215686274509803,0.5781274520367047,39,4,0
0.05,1,1.0,0.8666666666666667,0.8823529411764706,0.7780468065765023,39,6,0
0.05,2,1.0,0.8478260869565217,0.8627450980392157,0.7432744847842917,39,7,0
0.05,3,1.0,0.8478260869565217,0.8627450980392157,0.7640890909373824,39,7,0
0.05,4,1.0,0.78,0.7843137254901961,0.7967616853491618,39,11,0
0.05,5,1.0,0.8297872340425532,0.8431372549019608,0.7356651356320747,39,8,0
0.05,6,1.0,0.8125,0.8235294117647058,0.7540044635349937,39,9,0
0.05,7,1.0,0.8666666666666667,0.8823529411764706,0.7576014677236299,39,6,0
0.05,8,1.0,0.8125,0.8235294117647058,0.7710598931296574,39,9,0
0.05,9,1.0,0.8478260869565217,0.8627450980392157,0.7714394818545256,39,7,0
0.05,10,1.0,0.8297872340425532,0.8431372549019608,0.7784845592424248,39,8,0
0.05,11,1.0,0.8125,0.8235294117647058,0.7535936548064468,39,9,0
0.05,12,1.0,0.8297872340425532,0.8431372549019608,0.7800229738619926,39,8,0
0.05,13,1.0,0.8666666666666667,0.8823529411764706,0.7841659868321461,39,6,0
0.05,14,1.0,0.8125,0.8235294117647058,0.78901062085028,39,9,0
0.05,15,1.0,0.8297872340425532,0.8431372549019608,0.7678910477710094,39,8,0
0.05,16,1.0,0.7959183673469388,0.803921568627451,0.7728947764157755,39,10,0
0.05,17,1.0,0.8478260869565217,0.8627450980392157,0.7726026879864913,39,7,0
0.05,18,1.0,0.8297872340425532,0.8431372549019608,0.7721753995125381,39,8,0
0.05,19,1.0,0.7959183673469388,0.803921568627451,0.7794329188840898,39,10,0
0.05,20,1.0,0.7959183673469388,0.803921568627451,0.7663987744797527,39,10,0
0.06,1,1.0,0.8125,0.8235294117647058,0.9523269887497944,39,9,0
0.06,2,1.0,0.7358490566037735,0.7254901960784313,0.9119536833662902,39,14,0
0.06,3,1.0,0.7959183673469388,0.803921568627451,0.9378198963656501,39,10,0
0.06,4,1.0,0.75,0.7450980392156863,0.972171313912687,39,13,0
0.06,5,1.0,0.7647058823529411,0.7647058823529411,0.9074894287915123,39,12,0
0.06,6,1.0,0.7647058823529411,0.7647058823529411,0.9289095373068497,39,12,0
0.06,7,1.0,0.7959183673469388,0.803921568627451,0.9298166594206122,39,10,0
0.06,8,1.0,0.78,0.7843137254901961,0.9458190753382809,39,11,0
0.06,9,1.0,0.78,0.7843137254901961,0.9458088450195491,39,11,0
0.06,10,1.0,0.7959183673469388,0.803921568627451,0.9518753825583987,39,10,0
0.06,11,1.0,0.75,0.7450980392156863,0.9258665231233619,39,13,0
0.06,12,1.0,0.7358490566037735,0.7254901960784313,0.9551013482014158,39,14,0
0.06,13,1.0,0.8297872340425532,0.8431372549019608,0.9578099047491501,39,8,0
0.06,14,1.0,0.78,0.7843137254901961,0.964371496613584,39,11,0
0.06,15,1.0,0.7647058823529411,0.7647058823529411,0.9407893521228403,39,12,0
0.06,16,1.0,0.7647058823529411,0.7647058823529411,0.9467377987811127,39,12,0
0.06,17,1.0,0.8125,0.8235294117647058,0.9480756992585597,39,9,0
0.06,18,1.0,0.7959183673469388,0.803921568627451,0.948212782059423,39,10,0
0.06,19,1.0,0.75,0.7450980392156863,0.9568201128251833,39,13,0
0.06,20,1.0,0.7222222222222222,0.7058823529411765,0.939189667030118,39,15,0
0.07,1,1.0,0.8125,0.8235294117647058,1.107991481780813,39,9,0
0.07,2,1.0,0.7222222222222222,0.7058823529411765,1.062988054817363,39,15,0
0.07,3,1.0,0.7090909090909091,0.6862745098039216,1.0937714898353244,39,16,0
0.07,4,1.0,0.6964285714285714,0.6666666666666666,1.1277571682625658,39,17,0
0.07,5,1.0,0.7222222222222222,0.7058823529411765,1.0622299049806738,39,15,0
0.07,6,1.0,0.7358490566037735,0.7254901960784313,1.0867199714584654,39,14,0
0.07,7,1.0,0.7647058823529411,0.7647058823529411,1.0844222328103779,39,12,0
0.07,8,1.0,0.7358490566037735,0.7254901960784313,1.1019269373170644,39,14,0
0.07,9,1.0,0.7647058823529411,0.7647058823529411,1.101885044782076,39,12,0
0.07,10,1.0,0.78,0.7843137254901961,1.10656705897537,39,11,0
0.07,11,1.0,0.7358490566037735,0.7254901960784313,1.0807848457907967,39,14,0
0.07,12,1.0,0.6842105263157895,0.6470588235294118,1.1111632168725918,39,18,0
0.07,13,1.0,0.8125,0.8235294117647058,1.112498337422928,39,9,0
0.07,14,1.0,0.75,0.7450980392156863,1.1207471922996655,39,13,0
